,0,1,2,3,4,5
0,0,1,2,1,2,1
1,0,1,2,1,2,0
2,0,1,2,1,2,2
3,0,1,2,1,1,2
4,0,1,2,1,1,1
5,0,1,2,0,1,2
6,0,1,2,0,1,1
7,0,1,2,0,2,1
8,0,1,2,0,2,0
9,0,1,2,0,2,2
10,0,1,2,0,0,1
11,0,1,2,0,0,2
12,0,1,2,0,0,0
13,0,1,2,2,1,2
14,0,1,2,2,1,1
15,0,1,2,2,0,1
16,0,1,2,2,0,2
17,0,1,2,2,0,0
18,0,1,2,2,2,1
19,0,1,2,2,2,0
20,0,1,2,2,2,2
21,0,1,1,2,1,2
22,0,1,1,2,1,1
23,0,1,1,2,0,1
24,0,1,1,2,0,2
25,0,1,1,2,0,0
26,0,1,1,2,2,1
27,0,1,1,2,2,0
28,0,1,1,2,2,2
29,0,1,1,1,2,1
30,0,1,1,1,2,0
31,0,1,1,1,2,2
32,0,1,1,1,1,2
33,0,1,1,1,1,1
34,0,2,1,2,1,2
35,0,2,1,2,1,1
36,0,2,1,2,0,1
37,0,2,1,2,0,2
38,0,2,1,2,0,0
39,0,2,1,2,2,1
40,0,2,1,2,2,0
41,0,2,1,2,2,2
42,0,2,1,1,2,1
43,0,2,1,1,2,0
44,0,2,1,1,2,2
45,0,2,1,1,1,2
46,0,2,1,1,1,1
47,0,2,0,1,2,1
48,0,2,0,1,2,0
49,0,2,0,1,2,2
50,0,2,0,1,1,2
51,0,2,0,1,1,1
52,0,2,0,2,1,2
53,0,2,0,2,1,1
54,0,2,0,2,0,1
55,0,2,0,2,0,2
56,0,2,0,2,0,0
57,0,2,0,2,2,1
58,0,2,0,2,2,0
59,0,2,0,2,2,2
60,0,2,0,0,1,2
61,0,2,0,0,1,1
62,0,2,0,0,2,1
63,0,2,0,0,2,0
64,0,2,0,0,2,2
65,0,2,0,0,0,1
66,0,2,0,0,0,2
67,0,2,0,0,0,0
68,0,2,2,1,2,1
69,0,2,2,1,2,0
70,0,2,2,1,2,2
71,0,2,2,1,1,2
72,0,2,2,1,1,1
73,0,2,2,0,1,2
74,0,2,2,0,1,1
75,0,2,2,0,2,1
76,0,2,2,0,2,0
77,0,2,2,0,2,2
78,0,2,2,0,0,1
79,0,2,2,0,0,2
80,0,2,2,0,0,0
81,0,2,2,2,1,2
82,0,2,2,2,1,1
83,0,2,2,2,0,1
84,0,2,2,2,0,2
85,0,2,2,2,0,0
86,0,2,2,2,2,1
87,0,2,2,2,2,0
88,0,2,2,2,2,2
89,0,0,1,2,1,2
90,0,0,1,2,1,1
91,0,0,1,2,0,1
92,0,0,1,2,0,2
93,0,0,1,2,0,0
94,0,0,1,2,2,1
95,0,0,1,2,2,0
96,0,0,1,2,2,2
97,0,0,1,1,2,1
98,0,0,1,1,2,0
99,0,0,1,1,2,2
100,0,0,1,1,1,2
101,0,0,1,1,1,1
102,0,0,2,1,2,1
103,0,0,2,1,2,0
104,0,0,2,1,2,2
105,0,0,2,1,1,2
106,0,0,2,1,1,1
107,0,0,2,0,1,2
108,0,0,2,0,1,1
109,0,0,2,0,2,1
110,0,0,2,0,2,0
111,0,0,2,0,2,2
112,0,0,2,0,0,1
113,0,0,2,0,0,2
114,0,0,2,0,0,0
115,0,0,2,2,1,2
116,0,0,2,2,1,1
117,0,0,2,2,0,1
118,0,0,2,2,0,2
119,0,0,2,2,0,0
120,0,0,2,2,2,1
121,0,0,2,2,2,0
122,0,0,2,2,2,2
123,0,0,0,1,2,1
124,0,0,0,1,2,0
125,0,0,0,1,2,2
126,0,0,0,1,1,2
127,0,0,0,1,1,1
128,0,0,0,2,1,2
129,0,0,0,2,1,1
130,0,0,0,2,0,1
131,0,0,0,2,0,2
132,0,0,0,2,0,0
133,0,0,0,2,2,1
134,0,0,0,2,2,0
135,0,0,0,2,2,2
136,0,0,0,0,1,2
137,0,0,0,0,1,1
138,0,0,0,0,2,1
139,0,0,0,0,2,0
140,0,0,0,0,2,2
141,0,0,0,0,0,1
142,0,0,0,0,0,2
143,0,0,0,0,0,0
144,1,2,1,2,1,2
145,1,2,1,2,1,1
146,1,2,1,2,0,1
147,1,2,1,2,0,2
148,1,2,1,2,0,0
149,1,2,1,2,2,1
150,1,2,1,2,2,0
151,1,2,1,2,2,2
152,1,2,1,1,2,1
153,1,2,1,1,2,0
154,1,2,1,1,2,2
155,1,2,1,1,1,2
156,1,2,1,1,1,1
157,1,2,0,1,2,1
158,1,2,0,1,2,0
159,1,2,0,1,2,2
160,1,2,0,1,1,2
161,1,2,0,1,1,1
162,1,2,0,2,1,2
163,1,2,0,2,1,1
164,1,2,0,2,0,1
165,1,2,0,2,0,2
166,1,2,0,2,0,0
167,1,2,0,2,2,1
168,1,2,0,2,2,0
169,1,2,0,2,2,2
170,1,2,0,0,1,2
171,1,2,0,0,1,1
172,1,2,0,0,2,1
173,1,2,0,0,2,0
174,1,2,0,0,2,2
175,1,2,0,0,0,1
176,1,2,0,0,0,2
177,1,2,0,0,0,0
178,1,2,2,1,2,1
179,1,2,2,1,2,0
180,1,2,2,1,2,2
181,1,2,2,1,1,2
182,1,2,2,1,1,1
183,1,2,2,0,1,2
184,1,2,2,0,1,1
185,1,2,2,0,2,1
186,1,2,2,0,2,0
187,1,2,2,0,2,2
188,1,2,2,0,0,1
189,1,2,2,0,0,2
190,1,2,2,0,0,0
191,1,2,2,2,1,2
192,1,2,2,2,1,1
193,1,2,2,2,0,1
194,1,2,2,2,0,2
195,1,2,2,2,0,0
196,1,2,2,2,2,1
197,1,2,2,2,2,0
198,1,2,2,2,2,2
199,1,1,2,1,2,1
200,1,1,2,1,2,0
201,1,1,2,1,2,2
202,1,1,2,1,1,2
203,1,1,2,1,1,1
204,1,1,2,0,1,2
205,1,1,2,0,1,1
206,1,1,2,0,2,1
207,1,1,2,0,2,0
208,1,1,2,0,2,2
209,1,1,2,0,0,1
210,1,1,2,0,0,2
211,1,1,2,0,0,0
212,1,1,2,2,1,2
213,1,1,2,2,1,1
214,1,1,2,2,0,1
215,1,1,2,2,0,2
216,1,1,2,2,0,0
217,1,1,2,2,2,1
218,1,1,2,2,2,0
219,1,1,2,2,2,2
220,1,1,1,2,1,2
221,1,1,1,2,1,1
222,1,1,1,2,0,1
223,1,1,1,2,0,2
224,1,1,1,2,0,0
225,1,1,1,2,2,1
226,1,1,1,2,2,0
227,1,1,1,2,2,2
228,1,1,1,1,2,1
229,1,1,1,1,2,0
230,1,1,1,1,2,2
231,1,1,1,1,1,2
232,1,1,1,1,1,1
233,2,1,2,1,2,1
234,2,1,2,1,2,0
235,2,1,2,1,2,2
236,2,1,2,1,1,2
237,2,1,2,1,1,1
238,2,1,2,0,1,2
239,2,1,2,0,1,1
240,2,1,2,0,2,1
241,2,1,2,0,2,0
242,2,1,2,0,2,2
243,2,1,2,0,0,1
244,2,1,2,0,0,2
245,2,1,2,0,0,0
246,2,1,2,2,1,2
247,2,1,2,2,1,1
248,2,1,2,2,0,1
249,2,1,2,2,0,2
250,2,1,2,2,0,0
251,2,1,2,2,2,1
252,2,1,2,2,2,0
253,2,1,2,2,2,2
254,2,1,1,2,1,2
255,2,1,1,2,1,1
256,2,1,1,2,0,1
257,2,1,1,2,0,2
258,2,1,1,2,0,0
259,2,1,1,2,2,1
260,2,1,1,2,2,0
261,2,1,1,2,2,2
262,2,1,1,1,2,1
263,2,1,1,1,2,0
264,2,1,1,1,2,2
265,2,1,1,1,1,2
266,2,1,1,1,1,1
267,2,0,1,2,1,2
268,2,0,1,2,1,1
269,2,0,1,2,0,1
270,2,0,1,2,0,2
271,2,0,1,2,0,0
272,2,0,1,2,2,1
273,2,0,1,2,2,0
274,2,0,1,2,2,2
275,2,0,1,1,2,1
276,2,0,1,1,2,0
277,2,0,1,1,2,2
278,2,0,1,1,1,2
279,2,0,1,1,1,1
280,2,0,2,1,2,1
281,2,0,2,1,2,0
282,2,0,2,1,2,2
283,2,0,2,1,1,2
284,2,0,2,1,1,1
285,2,0,2,0,1,2
286,2,0,2,0,1,1
287,2,0,2,0,2,1
288,2,0,2,0,2,0
289,2,0,2,0,2,2
290,2,0,2,0,0,1
291,2,0,2,0,0,2
292,2,0,2,0,0,0
293,2,0,2,2,1,2
294,2,0,2,2,1,1
295,2,0,2,2,0,1
296,2,0,2,2,0,2
297,2,0,2,2,0,0
298,2,0,2,2,2,1
299,2,0,2,2,2,0
300,2,0,2,2,2,2
301,2,0,0,1,2,1
302,2,0,0,1,2,0
303,2,0,0,1,2,2
304,2,0,0,1,1,2
305,2,0,0,1,1,1
306,2,0,0,2,1,2
307,2,0,0,2,1,1
308,2,0,0,2,0,1
309,2,0,0,2,0,2
310,2,0,0,2,0,0
311,2,0,0,2,2,1
312,2,0,0,2,2,0
313,2,0,0,2,2,2
314,2,0,0,0,1,2
315,2,0,0,0,1,1
316,2,0,0,0,2,1
317,2,0,0,0,2,0
318,2,0,0,0,2,2
319,2,0,0,0,0,1
320,2,0,0,0,0,2
321,2,0,0,0,0,0
322,2,2,1,2,1,2
323,2,2,1,2,1,1
324,2,2,1,2,0,1
325,2,2,1,2,0,2
326,2,2,1,2,0,0
327,2,2,1,2,2,1
328,2,2,1,2,2,0
329,2,2,1,2,2,2
330,2,2,1,1,2,1
331,2,2,1,1,2,0
332,2,2,1,1,2,2
333,2,2,1,1,1,2
334,2,2,1,1,1,1
335,2,2,0,1,2,1
336,2,2,0,1,2,0
337,2,2,0,1,2,2
338,2,2,0,1,1,2
339,2,2,0,1,1,1
340,2,2,0,2,1,2
341,2,2,0,2,1,1
342,2,2,0,2,0,1
343,2,2,0,2,0,2
344,2,2,0,2,0,0
345,2,2,0,2,2,1
346,2,2,0,2,2,0
347,2,2,0,2,2,2
348,2,2,0,0,1,2
349,2,2,0,0,1,1
350,2,2,0,0,2,1
351,2,2,0,0,2,0
352,2,2,0,0,2,2
353,2,2,0,0,0,1
354,2,2,0,0,0,2
355,2,2,0,0,0,0
356,2,2,2,1,2,1
357,2,2,2,1,2,0
358,2,2,2,1,2,2
359,2,2,2,1,1,2
360,2,2,2,1,1,1
361,2,2,2,0,1,2
362,2,2,2,0,1,1
363,2,2,2,0,2,1
364,2,2,2,0,2,0
365,2,2,2,0,2,2
366,2,2,2,0,0,1
367,2,2,2,0,0,2
368,2,2,2,0,0,0
369,2,2,2,2,1,2
370,2,2,2,2,1,1
371,2,2,2,2,0,1
372,2,2,2,2,0,2
373,2,2,2,2,0,0
374,2,2,2,2,2,1
375,2,2,2,2,2,0
376,2,2,2,2,2,2
