,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,1,1,3,5,4,0,0,0,0,0,0,0,0,0,0
1,0,1,1,3,5,4,2,2,2,2,2,2,3,5,4,0
2,0,1,1,3,5,4,2,2,2,2,2,2,3,5,4,2
3,0,1,1,3,5,4,2,2,2,2,2,2,3,5,5,4
4,0,1,1,3,5,4,2,2,2,2,2,2,3,5,5,5
5,0,1,1,3,5,4,2,2,2,2,2,2,2,3,5,4
6,0,1,1,3,5,4,2,2,2,2,2,2,2,3,5,5
7,0,1,1,3,5,4,2,2,2,2,2,2,2,2,3,5
8,0,1,1,3,5,4,2,2,2,2,2,2,2,2,2,3
9,0,1,1,3,5,4,2,2,2,2,2,2,2,2,2,2
10,0,1,1,3,5,5,4,0,0,0,0,0,0,0,0,0
11,0,1,1,3,5,5,4,2,2,2,2,2,2,3,5,4
12,0,1,1,3,5,5,4,2,2,2,2,2,2,3,5,5
13,0,1,1,3,5,5,4,2,2,2,2,2,2,2,3,5
14,0,1,1,3,5,5,4,2,2,2,2,2,2,2,2,3
15,0,1,1,3,5,5,4,2,2,2,2,2,2,2,2,2
16,0,1,1,3,5,5,5,4,0,0,0,0,0,0,0,0
17,0,1,1,3,5,5,5,4,2,2,2,2,2,2,3,5
18,0,1,1,3,5,5,5,4,2,2,2,2,2,2,2,3
19,0,1,1,3,5,5,5,4,2,2,2,2,2,2,2,2
20,0,1,1,3,5,5,5,5,4,0,0,0,0,0,0,0
21,0,1,1,3,5,5,5,5,4,2,2,2,2,2,2,3
22,0,1,1,3,5,5,5,5,4,2,2,2,2,2,2,2
23,0,1,1,3,5,5,5,5,5,4,0,0,0,0,0,0
24,0,1,1,3,5,5,5,5,5,4,2,2,2,2,2,2
25,0,1,1,3,5,5,5,5,5,5,4,0,0,0,0,0
26,0,1,1,3,5,5,5,5,5,5,4,2,2,2,2,2
27,0,1,1,3,5,5,5,5,5,5,5,4,0,0,0,0
28,0,1,1,3,5,5,5,5,5,5,5,4,2,2,2,2
29,0,1,1,3,5,5,5,5,5,5,5,5,4,0,0,0
30,0,1,1,3,5,5,5,5,5,5,5,5,4,2,2,2
31,0,1,1,3,5,5,5,5,5,5,5,5,5,4,0,0
32,0,1,1,3,5,5,5,5,5,5,5,5,5,4,2,2
33,0,1,1,3,5,5,5,5,5,5,5,5,5,5,4,0
34,0,1,1,3,5,5,5,5,5,5,5,5,5,5,4,2
35,0,1,1,3,5,5,5,5,5,5,5,5,5,5,5,4
36,0,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5
37,0,0,1,1,3,5,4,0,0,0,0,0,0,0,0,0
38,0,0,1,1,3,5,4,2,2,2,2,2,2,3,5,4
39,0,0,1,1,3,5,4,2,2,2,2,2,2,3,5,5
40,0,0,1,1,3,5,4,2,2,2,2,2,2,2,3,5
41,0,0,1,1,3,5,4,2,2,2,2,2,2,2,2,3
42,0,0,1,1,3,5,4,2,2,2,2,2,2,2,2,2
43,0,0,1,1,3,5,5,4,0,0,0,0,0,0,0,0
44,0,0,1,1,3,5,5,4,2,2,2,2,2,2,3,5
45,0,0,1,1,3,5,5,4,2,2,2,2,2,2,2,3
46,0,0,1,1,3,5,5,4,2,2,2,2,2,2,2,2
47,0,0,1,1,3,5,5,5,4,0,0,0,0,0,0,0
48,0,0,1,1,3,5,5,5,4,2,2,2,2,2,2,3
49,0,0,1,1,3,5,5,5,4,2,2,2,2,2,2,2
50,0,0,1,1,3,5,5,5,5,4,0,0,0,0,0,0
51,0,0,1,1,3,5,5,5,5,4,2,2,2,2,2,2
52,0,0,1,1,3,5,5,5,5,5,4,0,0,0,0,0
53,0,0,1,1,3,5,5,5,5,5,4,2,2,2,2,2
54,0,0,1,1,3,5,5,5,5,5,5,4,0,0,0,0
55,0,0,1,1,3,5,5,5,5,5,5,4,2,2,2,2
56,0,0,1,1,3,5,5,5,5,5,5,5,4,0,0,0
57,0,0,1,1,3,5,5,5,5,5,5,5,4,2,2,2
58,0,0,1,1,3,5,5,5,5,5,5,5,5,4,0,0
59,0,0,1,1,3,5,5,5,5,5,5,5,5,4,2,2
60,0,0,1,1,3,5,5,5,5,5,5,5,5,5,4,0
61,0,0,1,1,3,5,5,5,5,5,5,5,5,5,4,2
62,0,0,1,1,3,5,5,5,5,5,5,5,5,5,5,4
63,0,0,1,1,3,5,5,5,5,5,5,5,5,5,5,5
64,0,0,0,1,1,3,5,4,0,0,0,0,0,0,0,0
65,0,0,0,1,1,3,5,4,2,2,2,2,2,2,3,5
66,0,0,0,1,1,3,5,4,2,2,2,2,2,2,2,3
