,latitude,longitude,so,thetao
2022-05-28 08:00:00,36.520832,-2.458332,37.233593,19.712088
2022-05-28 09:00:00,36.520832,-2.458332,37.216316,19.759075
2022-05-28 10:00:00,36.520832,-2.458332,37.199787,19.897995
2022-05-28 11:00:00,36.520832,-2.458332,37.18459,20.061605
2022-05-28 12:00:00,36.520832,-2.458332,37.172245,20.22655
2022-05-28 13:00:00,36.520832,-2.458332,37.164368,20.390154
2022-05-28 14:00:00,36.520832,-2.458332,37.161373,20.543468
2022-05-28 15:00:00,36.520832,-2.458332,37.162888,20.672249
2022-05-28 16:00:00,36.520832,-2.458332,37.168198,20.763636
2022-05-28 17:00:00,36.520832,-2.458332,37.176666,20.812101
2022-05-28 18:00:00,36.520832,-2.458332,37.18732,20.822985
2022-05-28 19:00:00,36.520832,-2.458332,37.19866,20.804817
2022-05-28 20:00:00,36.520832,-2.458332,37.208736,20.771236
2022-05-28 21:00:00,36.520832,-2.458332,37.21546,20.725954
2022-05-28 22:00:00,36.520832,-2.458332,37.21657,20.660795
2022-05-28 23:00:00,36.520832,-2.458332,37.209873,20.56274
2022-05-29 00:00:00,36.520832,-2.458332,37.187553,20.436327
2022-05-29 01:00:00,36.520832,-2.458332,37.165665,20.312092
2022-05-29 02:00:00,36.520832,-2.458332,37.141598,20.20892
2022-05-29 03:00:00,36.520832,-2.458332,37.121902,20.134686
2022-05-29 04:00:00,36.520832,-2.458332,37.110806,20.073755
2022-05-29 05:00:00,36.520832,-2.458332,37.106388,20.019075
2022-05-29 06:00:00,36.520832,-2.458332,37.10344,19.979948
2022-05-29 07:00:00,36.520832,-2.458332,37.10319,19.9581
2022-05-29 08:00:00,36.520832,-2.458332,37.10671,19.948818
2022-05-29 09:00:00,36.520832,-2.458332,37.112366,19.946638
2022-05-29 10:00:00,36.520832,-2.458332,37.11914,19.946268
2022-05-29 11:00:00,36.520832,-2.458332,37.12691,19.942924
2022-05-29 12:00:00,36.520832,-2.458332,37.13482,19.936558
2022-05-29 13:00:00,36.520832,-2.458332,37.141872,19.93241
2022-05-29 14:00:00,36.520832,-2.458332,37.147717,19.930088
2022-05-29 15:00:00,36.520832,-2.458332,37.15162,19.925148
2022-05-29 16:00:00,36.520832,-2.458332,37.152267,19.909307
2022-05-29 17:00:00,36.520832,-2.458332,37.14807,19.880238
2022-05-29 18:00:00,36.520832,-2.458332,37.138115,19.834177
2022-05-29 19:00:00,36.520832,-2.458332,37.127064,19.771784
2022-05-29 20:00:00,36.520832,-2.458332,37.122322,19.69988
2022-05-29 21:00:00,36.520832,-2.458332,37.124752,19.623346
2022-05-29 22:00:00,36.520832,-2.458332,37.132324,19.54891
2022-05-29 23:00:00,36.520832,-2.458332,37.14258,19.477993
2022-05-30 00:00:00,36.520832,-2.458332,37.18461,19.333193
2022-05-30 01:00:00,36.520832,-2.458332,37.18873,19.275036
2022-05-30 02:00:00,36.520832,-2.458332,37.19266,19.216068
2022-05-30 03:00:00,36.520832,-2.458332,37.194622,19.153715
2022-05-30 04:00:00,36.520832,-2.458332,37.19441,19.08661
2022-05-30 05:00:00,36.520832,-2.458332,37.19249,19.016037
2022-05-30 06:00:00,36.520832,-2.458332,37.187893,18.941328
2022-05-30 07:00:00,36.520832,-2.458332,37.18275,18.868128
2022-05-30 08:00:00,36.520832,-2.458332,37.17836,18.801378
2022-05-30 09:00:00,36.520832,-2.458332,37.17343,18.747026
2022-05-30 10:00:00,36.520832,-2.458332,37.16977,18.698666
2022-05-30 11:00:00,36.520832,-2.458332,37.165825,18.656862
2022-05-30 12:00:00,36.520832,-2.458332,37.160667,18.617844
2022-05-30 13:00:00,36.520832,-2.458332,37.153904,18.579857
2022-05-30 14:00:00,36.520832,-2.458332,37.145626,18.53975
2022-05-30 15:00:00,36.520832,-2.458332,37.1358,18.495634
2022-05-30 16:00:00,36.520832,-2.458332,37.123646,18.449472
2022-05-30 17:00:00,36.520832,-2.458332,37.109264,18.404575
2022-05-30 18:00:00,36.520832,-2.458332,37.09458,18.36239
2022-05-30 19:00:00,36.520832,-2.458332,37.08344,18.323456
2022-05-30 20:00:00,36.520832,-2.458332,37.0793,18.287737
2022-05-30 21:00:00,36.520832,-2.458332,37.080593,18.252214
2022-05-30 22:00:00,36.520832,-2.458332,37.08443,18.219341
2022-05-30 23:00:00,36.520832,-2.458332,37.0878,18.191412
2022-05-31 00:00:00,36.520832,-2.458332,37.151077,18.004797
2022-05-31 01:00:00,36.520832,-2.458332,37.15148,17.997396
2022-05-31 02:00:00,36.520832,-2.458332,37.153183,17.99112
2022-05-31 03:00:00,36.520832,-2.458332,37.15455,17.983412
2022-05-31 04:00:00,36.520832,-2.458332,37.15537,17.973501
2022-05-31 05:00:00,36.520832,-2.458332,37.15554,17.965733
2022-05-31 06:00:00,36.520832,-2.458332,37.15494,17.972101
2022-05-31 07:00:00,36.520832,-2.458332,37.153427,18.003727
2022-05-31 08:00:00,36.520832,-2.458332,37.151096,18.064766
2022-05-31 09:00:00,36.520832,-2.458332,37.148182,18.158913
2022-05-31 10:00:00,36.520832,-2.458332,37.14521,18.338068
2022-05-31 11:00:00,36.520832,-2.458332,37.14294,18.553518
2022-05-31 12:00:00,36.520832,-2.458332,37.14178,18.763897
2022-05-31 13:00:00,36.520832,-2.458332,37.14195,18.949343
2022-05-31 14:00:00,36.520832,-2.458332,37.14322,19.09535
2022-05-31 15:00:00,36.520832,-2.458332,37.145065,19.193085
2022-05-31 16:00:00,36.520832,-2.458332,37.147205,19.24553
2022-05-31 17:00:00,36.520832,-2.458332,37.149567,19.265812
2022-05-31 18:00:00,36.520832,-2.458332,37.151897,19.269497
2022-05-31 19:00:00,36.520832,-2.458332,37.153812,19.263283
2022-05-31 20:00:00,36.520832,-2.458332,37.15518,19.253092
2022-05-31 21:00:00,36.520832,-2.458332,37.1561,19.24765
2022-05-31 22:00:00,36.520832,-2.458332,37.15624,19.242405
2022-05-31 23:00:00,36.520832,-2.458332,37.15558,19.231133
2022-06-01 00:00:00,36.520832,-2.458332,37.07281,19.298725
2022-06-01 01:00:00,36.520832,-2.458332,37.073673,19.269726
2022-06-01 02:00:00,36.520832,-2.458332,37.074394,19.242538
2022-06-01 03:00:00,36.520832,-2.458332,37.07411,19.215132
2022-06-01 04:00:00,36.520832,-2.458332,37.073154,19.183767
2022-06-01 05:00:00,36.520832,-2.458332,37.071728,19.150368
2022-06-01 06:00:00,36.520832,-2.458332,37.069836,19.139769
2022-06-01 07:00:00,36.520832,-2.458332,37.06767,19.172586
2022-06-01 08:00:00,36.520832,-2.458332,37.065735,19.25213
2022-06-01 09:00:00,36.520832,-2.458332,37.064613,19.370867
2022-06-01 10:00:00,36.520832,-2.458332,37.064648,19.515217
2022-06-01 11:00:00,36.520832,-2.458332,37.06568,19.670584
2022-06-01 12:00:00,36.520832,-2.458332,37.067387,19.827602
2022-06-01 13:00:00,36.520832,-2.458332,37.069717,19.981098
2022-06-01 14:00:00,36.520832,-2.458332,37.072956,20.110746
2022-06-01 15:00:00,36.520832,-2.458332,37.07707,20.198095
2022-06-01 16:00:00,36.520832,-2.458332,37.08154,20.244373
2022-06-01 17:00:00,36.520832,-2.458332,37.085567,20.248577
