,0,1,2,3,4,5
0,0,1,2,1,2,1
1,0,1,2,1,2,0
2,0,1,2,1,2,2
3,0,1,2,1,1,2
4,0,1,2,1,1,1
5,0,1,2,0,0,1
6,0,1,2,0,0,2
7,0,1,2,0,0,0
8,0,1,2,2,1,2
9,0,1,2,2,1,1
10,0,1,2,2,0,0
11,0,1,2,2,2,1
12,0,1,2,2,2,0
13,0,1,2,2,2,2
14,0,1,1,2,1,2
15,0,1,1,2,1,1
16,0,1,1,2,0,0
17,0,1,1,2,2,1
18,0,1,1,2,2,0
19,0,1,1,2,2,2
20,0,1,1,1,2,1
21,0,1,1,1,2,0
22,0,1,1,1,2,2
23,0,1,1,1,1,2
24,0,1,1,1,1,1
25,0,2,1,2,1,2
26,0,2,1,2,1,1
27,0,2,1,2,0,0
28,0,2,1,2,2,1
29,0,2,1,2,2,0
30,0,2,1,2,2,2
31,0,2,1,1,2,1
32,0,2,1,1,2,0
33,0,2,1,1,2,2
34,0,2,1,1,1,2
35,0,2,1,1,1,1
36,0,2,0,0,1,2
37,0,2,0,0,1,1
38,0,2,0,0,2,1
39,0,2,0,0,2,0
40,0,2,0,0,2,2
41,0,2,0,0,0,1
42,0,2,0,0,0,2
43,0,2,0,0,0,0
44,0,2,2,1,2,1
45,0,2,2,1,2,0
46,0,2,2,1,2,2
47,0,2,2,1,1,2
48,0,2,2,1,1,1
49,0,2,2,0,0,1
50,0,2,2,0,0,2
51,0,2,2,0,0,0
52,0,2,2,2,1,2
53,0,2,2,2,1,1
54,0,2,2,2,0,0
55,0,2,2,2,2,1
56,0,2,2,2,2,0
57,0,2,2,2,2,2
58,0,0,1,2,1,2
59,0,0,1,2,1,1
60,0,0,1,2,0,0
61,0,0,1,2,2,1
62,0,0,1,2,2,0
63,0,0,1,2,2,2
64,0,0,1,1,2,1
65,0,0,1,1,2,0
66,0,0,1,1,2,2
67,0,0,1,1,1,2
68,0,0,1,1,1,1
69,0,0,2,1,2,1
70,0,0,2,1,2,0
71,0,0,2,1,2,2
72,0,0,2,1,1,2
73,0,0,2,1,1,1
74,0,0,2,0,0,1
75,0,0,2,0,0,2
76,0,0,2,0,0,0
77,0,0,2,2,1,2
78,0,0,2,2,1,1
79,0,0,2,2,0,0
80,0,0,2,2,2,1
81,0,0,2,2,2,0
82,0,0,2,2,2,2
83,0,0,0,1,2,1
84,0,0,0,1,2,0
85,0,0,0,1,2,2
86,0,0,0,1,1,2
87,0,0,0,1,1,1
88,0,0,0,2,1,2
89,0,0,0,2,1,1
90,0,0,0,2,0,0
91,0,0,0,2,2,1
92,0,0,0,2,2,0
93,0,0,0,2,2,2
94,0,0,0,0,1,2
95,0,0,0,0,1,1
96,0,0,0,0,2,1
97,0,0,0,0,2,0
98,0,0,0,0,2,2
99,0,0,0,0,0,1
100,0,0,0,0,0,2
101,0,0,0,0,0,0
102,1,2,1,2,1,2
103,1,2,1,2,1,1
104,1,2,1,2,0,0
105,1,2,1,2,2,1
106,1,2,1,2,2,0
107,1,2,1,2,2,2
108,1,2,1,1,2,1
109,1,2,1,1,2,0
110,1,2,1,1,2,2
111,1,2,1,1,1,2
112,1,2,1,1,1,1
113,1,2,0,0,1,2
114,1,2,0,0,1,1
115,1,2,0,0,2,1
116,1,2,0,0,2,0
117,1,2,0,0,2,2
118,1,2,0,0,0,1
119,1,2,0,0,0,2
120,1,2,0,0,0,0
121,1,2,2,1,2,1
122,1,2,2,1,2,0
123,1,2,2,1,2,2
124,1,2,2,1,1,2
125,1,2,2,1,1,1
126,1,2,2,0,0,1
127,1,2,2,0,0,2
128,1,2,2,0,0,0
129,1,2,2,2,1,2
130,1,2,2,2,1,1
131,1,2,2,2,0,0
132,1,2,2,2,2,1
133,1,2,2,2,2,0
134,1,2,2,2,2,2
135,1,1,2,1,2,1
136,1,1,2,1,2,0
137,1,1,2,1,2,2
138,1,1,2,1,1,2
139,1,1,2,1,1,1
140,1,1,2,0,0,1
141,1,1,2,0,0,2
142,1,1,2,0,0,0
143,1,1,2,2,1,2
144,1,1,2,2,1,1
145,1,1,2,2,0,0
146,1,1,2,2,2,1
147,1,1,2,2,2,0
148,1,1,2,2,2,2
149,1,1,1,2,1,2
150,1,1,1,2,1,1
151,1,1,1,2,0,0
152,1,1,1,2,2,1
153,1,1,1,2,2,0
154,1,1,1,2,2,2
155,1,1,1,1,2,1
156,1,1,1,1,2,0
157,1,1,1,1,2,2
158,1,1,1,1,1,2
159,1,1,1,1,1,1
160,2,1,2,1,2,1
161,2,1,2,1,2,0
162,2,1,2,1,2,2
163,2,1,2,1,1,2
164,2,1,2,1,1,1
165,2,1,2,0,0,1
166,2,1,2,0,0,2
167,2,1,2,0,0,0
168,2,1,2,2,1,2
169,2,1,2,2,1,1
170,2,1,2,2,0,0
171,2,1,2,2,2,1
172,2,1,2,2,2,0
173,2,1,2,2,2,2
174,2,1,1,2,1,2
175,2,1,1,2,1,1
176,2,1,1,2,0,0
177,2,1,1,2,2,1
178,2,1,1,2,2,0
179,2,1,1,2,2,2
180,2,1,1,1,2,1
181,2,1,1,1,2,0
182,2,1,1,1,2,2
183,2,1,1,1,1,2
184,2,1,1,1,1,1
185,2,0,0,1,2,1
186,2,0,0,1,2,0
187,2,0,0,1,2,2
188,2,0,0,1,1,2
189,2,0,0,1,1,1
190,2,0,0,2,1,2
191,2,0,0,2,1,1
192,2,0,0,2,0,0
193,2,0,0,2,2,1
194,2,0,0,2,2,0
195,2,0,0,2,2,2
196,2,0,0,0,1,2
197,2,0,0,0,1,1
198,2,0,0,0,2,1
199,2,0,0,0,2,0
200,2,0,0,0,2,2
201,2,0,0,0,0,1
202,2,0,0,0,0,2
203,2,0,0,0,0,0
204,2,2,1,2,1,2
205,2,2,1,2,1,1
206,2,2,1,2,0,0
207,2,2,1,2,2,1
208,2,2,1,2,2,0
209,2,2,1,2,2,2
210,2,2,1,1,2,1
211,2,2,1,1,2,0
212,2,2,1,1,2,2
213,2,2,1,1,1,2
214,2,2,1,1,1,1
215,2,2,0,0,1,2
216,2,2,0,0,1,1
217,2,2,0,0,2,1
218,2,2,0,0,2,0
219,2,2,0,0,2,2
220,2,2,0,0,0,1
221,2,2,0,0,0,2
222,2,2,0,0,0,0
223,2,2,2,1,2,1
224,2,2,2,1,2,0
225,2,2,2,1,2,2
226,2,2,2,1,1,2
227,2,2,2,1,1,1
228,2,2,2,0,0,1
229,2,2,2,0,0,2
230,2,2,2,0,0,0
231,2,2,2,2,1,2
232,2,2,2,2,1,1
233,2,2,2,2,0,0
234,2,2,2,2,2,1
235,2,2,2,2,2,0
236,2,2,2,2,2,2
