time,Tts_h_t,Tts_h_m,Tts_h_b,Tts_c_t,Tts_c_m,Tts_c_b,Tamb,m_ts_src,FT-AQU-100,Tts_t_in,Tts_b_in,m_ts_dis,TT-AQU-106,TT-SF-007,ZT-AQU-TCV102
2023-07-08 10:16:00,90.36373,84.98914333333333,83.72586333333334,83.99320666666668,84.39797,84.62038,31.872823333333333,136.68043333333333,0.009982644,92.45249666666668,42.30676666666667,0.009425354,75.19743666666666,83.49155333333333,0.9003706666666667
2023-07-08 10:16:30,90.38329666666667,85.02584,83.71590666666665,83.99105,84.39173666666667,84.60551666666667,31.938443333333332,136.4854,0.010163489,92.45170666666667,42.33379333333333,0.009238435,75.56209,83.46906666666668,0.9009736
2023-07-08 10:17:00,90.43004666666667,85.11227333333333,83.71075333333333,83.98370999999999,84.38913000000001,84.62462666666667,32.018283333333336,136.59433333333334,0.010416672,92.43246333333333,42.35176333333333,0.009448241333333333,75.48322,83.46209999999999,0.9031432
2023-07-08 10:17:30,90.43461,85.23274666666666,83.71961333333334,83.97646333333334,84.38924666666666,84.60552333333334,32.07515333333333,136.15706666666668,0.010380503000000001,92.47205333333333,42.259530000000005,0.009460452000000001,75.69169666666667,83.47265,2.0571716333333336
2023-07-08 10:18:00,90.48938333333334,85.32317666666667,83.72318666666666,83.96291333333333,84.38678666666667,84.57158000000001,32.13603,136.28206666666668,0.010308165000000001,92.41377333333334,42.27952666666667,0.009358979333333333,75.77005333333334,83.45893666666666,2.7641523333333335
2023-07-08 10:18:30,90.54019333333333,85.36978666666667,83.72832333333332,83.94464333333333,84.38232333333333,84.57158000000001,32.154199999999996,136.29503333333335,0.010308165000000001,92.44790666666667,42.26378666666666,0.009177400666666667,75.71908666666667,83.44894666666667,2.7655963333333333
2023-07-08 10:19:00,90.61589333333333,85.51920333333332,83.72273333333332,83.93538333333335,84.37953333333333,84.58536333333333,32.12889666666667,135.98666666666665,0.010380503000000001,92.51079333333334,42.24312,0.009189607999999998,75.97506666666666,83.47069,3.195774
2023-07-08 10:19:30,90.66763,85.55083666666665,83.71041999999998,83.93493333333335,84.37583333333333,84.59702333333333,32.07267,136.42896666666667,0.010199658,92.50177666666667,42.2531,0.009436797666666667,76.12742,83.45782,6.338856000000001
2023-07-08 10:20:00,90.64251,85.66642666666667,83.70359666666667,83.94843666666667,84.37135333333332,84.60339333333333,32.022236666666664,136.0512,0.010742193,92.45467000000001,42.27228,0.009188844666666666,76.43620000000001,83.43633666666666,12.003644666666666
2023-07-08 10:20:30,90.61916,85.99934333333334,83.70829666666667,83.95854666666668,84.37078333333332,84.5896,32.02307333333333,136.29486666666668,0.05591725533333333,92.40781,42.30914333333333,0.009188846666666667,76.46747666666667,83.38569666666668,23.681883333333335
2023-07-08 10:21:00,90.60721666666667,86.14168333333333,83.70906999999998,83.96133,84.36370000000001,84.54187333333333,32.03315,135.9067,0.6642975333333333,92.37353,42.45575,0.009410098666666667,76.63392666666667,83.32158666666666,48.47777333333333
2023-07-08 10:21:30,90.71771666666667,86.33828666666666,83.70817666666667,83.95884666666666,84.36296333333333,84.49944,32.03795,136.07986666666667,0.7780308666666667,92.35152,42.77032333333333,0.009523010333333333,77.46204333333334,83.31866666666666,85.67166333333333
2023-07-08 10:22:00,90.73,86.55153,83.71345333333332,83.95268000000002,84.36258666666666,84.55674,32.00506,136.10906666666668,0.6611327333333333,92.38137666666667,43.09094,0.009264376,77.44219,83.34672666666667,100.0
2023-07-08 10:22:30,90.71159666666668,86.57198666666666,83.71894333333333,83.94137333333333,84.36024333333333,84.54932000000001,31.990516666666668,135.90483333333333,0.5070530333333333,92.39636999999999,43.35945,0.009557340666666666,77.27442666666666,83.40686666666667,99.85182666666667
