,0,1,2,3,4,5,6,7
176,2,0,0,0,1,1,2,2
177,0,0,0,1,2,1,2,1
178,0,1,1,1,1,2,2,0
179,1,2,2,1,2,1,1,1
180,0,0,0,0,0,0,1,1
181,2,1,2,2,1,1,2,0
182,0,1,2,2,2,1,2,0
183,0,1,1,2,2,1,0,0
184,1,2,1,2,2,1,2,1
185,0,1,2,1,0,0,0,1
186,2,1,1,2,1,2,0,0
187,0,1,2,2,1,2,2,2
188,0,1,2,1,2,1,1,1
189,0,0,0,0,1,1,0,0
190,0,1,1,1,1,1,2,1
191,0,1,2,1,1,1,0,0
192,1,2,2,2,2,2,1,1
193,2,1,1,2,2,1,1,2
194,1,2,2,2,2,1,0,0
195,0,1,2,2,1,1,1,0
196,0,0,0,0,0,1,1,1
197,1,2,1,1,2,1,1,0
198,0,1,1,2,0,0,0,0
199,0,1,2,1,2,2,1,2
200,0,1,1,2,2,1,1,0
201,0,0,1,1,2,2,1,1
202,0,1,1,2,1,1,2,2
203,0,0,0,1,1,1,1,2
204,0,1,0,0,0,0,1,1
205,0,1,1,1,2,2,2,0
206,2,1,1,2,2,2,0,0
207,0,0,0,1,0,0,0,0
208,0,1,2,1,1,1,2,0
209,0,0,1,2,1,1,0,0
210,1,2,1,2,1,2,2,2
211,2,1,1,0,0,0,0,1
212,2,1,1,2,1,1,2,1
213,0,1,2,2,1,1,2,2
214,1,0,0,0,1,1,1,1
215,0,1,2,2,1,2,2,0
216,0,1,2,1,1,2,2,1
217,0,1,1,2,2,1,2,2
218,0,0,0,1,1,0,0,0
219,2,0,0,0,0,1,2,1
220,2,0,0,0,0,0,1,1
221,2,1,1,2,1,2,2,2
222,2,1,1,2,2,1,1,0
223,1,0,0,0,1,2,1,2
224,0,1,2,1,2,2,1,0
225,1,2,2,1,2,2,1,2
226,0,1,1,2,1,1,2,0
227,0,0,0,1,1,1,1,0
228,2,1,2,1,2,1,1,2
229,2,1,1,1,1,2,0,0
230,0,0,1,2,1,0,0,0
231,2,1,1,1,2,2,1,1
232,1,2,1,2,1,2,2,0
233,1,0,0,0,1,2,0,0
234,1,2,2,2,2,2,2,1
235,2,1,1,1,2,1,0,0
236,1,2,2,1,1,1,1,1
237,0,1,2,2,1,1,2,0
238,0,0,0,0,0,1,2,1
239,2,1,2,2,1,2,1,2
240,2,1,1,1,1,0,0,0
241,0,1,2,1,2,2,2,2
242,1,2,0,0,0,0,0,0
243,0,1,1,2,2,1,2,0
244,2,1,2,1,2,0,0,0
245,1,2,1,1,2,1,2,2
246,2,1,1,2,1,2,2,0
247,1,2,2,1,1,2,1,2
248,1,0,0,0,1,2,1,0
249,2,1,1,1,1,1,2,1
250,1,2,2,1,2,2,1,0
251,1,2,2,2,1,1,1,2
252,2,1,2,1,2,1,1,0
253,1,2,1,2,0,0,0,1
254,1,2,1,1,2,1,0,0
255,1,2,2,2,1,2,1,2
256,1,0,0,0,1,1,2,1
257,2,1,1,0,0,0,1,0
258,0,0,1,2,2,1,1,1
259,1,2,1,2,2,2,0,0
260,2,1,2,2,2,2,0,0
261,0,0,1,1,2,1,1,2
262,0,0,0,0,1,1,1,1
263,2,0,0,0,1,2,1,2
264,0,1,0,0,0,1,2,1
265,2,1,2,0,0,0,0,1
266,2,0,0,0,1,1,1,1
267,2,1,2,2,1,2,1,0
268,1,0,0,0,1,2,2,2
269,0,1,2,1,2,2,2,0
270,0,0,1,2,2,2,1,2
271,1,2,2,1,2,2,2,2
272,2,1,2,1,2,1,2,2
273,0,1,1,2,1,2,1,1
274,0,1,2,2,2,1,1,1
275,1,2,2,1,1,2,1,0
276,0,0,1,1,2,2,2,1
277,0,0,0,1,1,1,2,2
278,0,1,1,0,0,0,1,1
279,1,2,2,1,2,2,0,0
280,1,2,2,2,1,1,1,0
281,2,1,2,0,0,0,1,1
282,0,1,2,2,2,2,1,2
283,0,0,1,2,2,2,0,0
284,1,2,1,1,1,2,0,0
285,1,2,2,2,1,2,1,0
286,2,1,2,2,2,1,0,0
287,2,1,2,1,1,1,1,1
288,0,0,1,1,2,1,1,0
289,0,0,1,2,1,2,1,1
290,0,0,1,1,0,0,0,0
291,0,0,1,1,1,2,1,2
292,2,0,0,0,1,2,1,0
293,1,2,2,1,1,2,2,2
294,1,0,0,0,1,2,2,0
295,1,2,2,1,2,2,2,0
296,0,0,1,2,2,2,1,0
297,1,2,2,0,0,0,1,2
298,2,1,2,1,1,2,1,2
299,1,2,2,2,1,1,2,2
300,1,2,1,1,1,0,0,0
301,2,1,2,1,2,1,2,0
302,0,1,1,2,2,2,1,2
303,1,2,2,2,2,1,1,1
304,2,1,0,0,0,0,1,2
305,1,2,2,1,2,1,2,1
306,0,0,0,1,1,1,2,0
307,1,2,2,2,1,2,2,2
308,0,0,0,0,1,2,1,2
309,2,1,1,2,2,1,2,0
310,0,0,1,1,1,2,0,0
311,0,0,1,2,2,1,2,1
312,1,2,1,1,1,1,2,1
313,2,1,2,2,2,0,0,0
