,0,1,2
0,0,1,0
1,0,1,2
2,0,1,1
3,0,0,1
4,0,0,0
5,1,0,0
6,1,2,1
7,1,2,0
8,1,2,2
9,2,1,0
10,2,1,2
11,2,1,1
12,2,0,0
13,3,3,3
