,0,1,2
0,0,1,1
1,0,0,1
2,0,0,0
3,1,1,1
4,1,1,3
5,1,1,2
6,2,2,3
7,2,2,0
8,2,0,0
9,2,2,2
10,3,5,4
11,3,5,5
12,3,3,5
13,3,3,3
14,4,0,0
15,4,2,2
16,4,2,0
17,5,4,0
18,5,4,2
