,0,1,2
0,1,2,1
1,3,3,3
2,0,1,0
3,0,1,2
4,2,1,0
5,2,1,2
6,2,0,0
7,1,2,0
8,1,2,2
9,0,0,0
10,1,0,0
11,2,1,1
12,0,1,1
13,0,0,1
