,0,1,2,3,4,5,6,7,8,9
0,0,1,3,5,5,5,5,5,5,5
1,0,1,2,2,2,2,2,2,2,2
2,0,0,1,3,5,5,5,5,5,5
3,0,0,1,2,2,2,2,2,2,2
4,0,0,0,1,3,5,5,5,5,5
5,0,0,0,1,2,2,2,2,2,2
6,0,0,0,0,1,3,5,5,5,5
7,0,0,0,0,1,2,2,2,2,2
8,0,0,0,0,0,1,3,5,5,5
9,0,0,0,0,0,1,2,2,2,2
10,0,0,0,0,0,0,1,3,5,5
11,0,0,0,0,0,0,1,2,2,2
12,0,0,0,0,0,0,0,1,3,5
13,0,0,0,0,0,0,0,1,2,2
14,0,0,0,0,0,0,0,0,1,2
15,0,0,0,0,0,0,0,0,1,3
16,0,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,0,0,0
18,1,2,3,5,4,0,0,0,0,0
19,1,2,3,5,4,2,2,3,5,4
20,1,2,3,5,4,2,2,3,5,5
21,1,2,3,5,4,2,2,0,0,0
22,1,2,3,5,4,2,0,0,0,0
23,1,2,3,5,4,2,2,2,3,5
24,1,2,3,5,4,2,2,2,0,0
25,1,2,3,5,4,2,2,2,2,3
26,1,2,3,5,4,2,2,2,2,0
27,1,2,3,5,4,2,2,2,2,2
28,1,2,3,5,5,4,0,0,0,0
29,1,2,3,5,5,4,2,2,3,5
30,1,2,3,5,5,4,2,2,0,0
31,1,2,3,5,5,4,2,0,0,0
32,1,2,3,5,5,4,2,2,2,3
33,1,2,3,5,5,4,2,2,2,0
34,1,2,3,5,5,4,2,2,2,2
35,1,2,3,5,5,5,4,0,0,0
36,1,2,3,5,5,5,4,2,2,3
37,1,2,3,5,5,5,4,2,2,0
38,1,2,3,5,5,5,4,2,0,0
39,1,2,3,5,5,5,4,2,2,2
40,1,2,3,5,5,5,5,4,0,0
41,1,2,3,5,5,5,5,4,2,2
42,1,2,3,5,5,5,5,4,2,0
43,1,2,3,5,5,5,5,5,4,0
44,1,2,3,5,5,5,5,5,4,2
45,1,2,3,5,5,5,5,5,5,4
46,1,2,3,5,5,5,5,5,5,5
47,1,2,0,0,0,0,0,0,0,0
48,1,3,5,4,0,0,0,0,0,0
49,1,3,5,4,2,2,3,5,4,0
50,1,3,5,4,2,2,3,5,4,2
51,1,3,5,4,2,2,3,5,5,4
52,1,3,5,4,2,2,3,5,5,5
53,1,3,5,4,2,2,0,0,0,0
54,1,3,5,4,2,0,0,0,0,0
55,1,3,5,4,2,2,2,3,5,4
56,1,3,5,4,2,2,2,3,5,5
57,1,3,5,4,2,2,2,0,0,0
58,1,3,5,4,2,2,2,2,3,5
59,1,3,5,4,2,2,2,2,0,0
60,1,3,5,4,2,2,2,2,2,3
61,1,3,5,4,2,2,2,2,2,0
62,1,3,5,4,2,2,2,2,2,2
63,1,3,5,5,4,0,0,0,0,0
64,1,3,5,5,4,2,2,3,5,4
65,1,3,5,5,4,2,2,3,5,5
66,1,3,5,5,4,2,2,0,0,0
67,1,3,5,5,4,2,0,0,0,0
68,1,3,5,5,4,2,2,2,3,5
69,1,3,5,5,4,2,2,2,0,0
70,1,3,5,5,4,2,2,2,2,3
71,1,3,5,5,4,2,2,2,2,0
72,1,3,5,5,4,2,2,2,2,2
73,1,3,5,5,5,4,0,0,0,0
74,1,3,5,5,5,4,2,2,3,5
75,1,3,5,5,5,4,2,2,0,0
76,1,3,5,5,5,4,2,0,0,0
77,1,3,5,5,5,4,2,2,2,3
78,1,3,5,5,5,4,2,2,2,0
79,1,3,5,5,5,4,2,2,2,2
80,1,3,5,5,5,5,4,0,0,0
81,1,3,5,5,5,5,4,2,2,3
82,1,3,5,5,5,5,4,2,2,0
83,1,3,5,5,5,5,4,2,0,0
84,1,3,5,5,5,5,4,2,2,2
85,1,3,5,5,5,5,5,4,0,0
86,1,3,5,5,5,5,5,4,2,2
87,1,3,5,5,5,5,5,4,2,0
88,1,3,5,5,5,5,5,5,4,0
89,1,3,5,5,5,5,5,5,4,2
90,1,3,5,5,5,5,5,5,5,4
91,1,3,5,5,5,5,5,5,5,5
92,1,3,2,3,5,4,0,0,0,0
93,1,3,2,3,5,4,2,2,3,5
94,1,3,2,3,5,4,2,2,0,0
95,1,3,2,3,5,4,2,0,0,0
96,1,3,2,3,5,4,2,2,2,3
97,1,3,2,3,5,4,2,2,2,0
98,1,3,2,3,5,4,2,2,2,2
99,1,3,2,3,5,5,4,0,0,0
100,1,3,2,3,5,5,4,2,2,3
101,1,3,2,3,5,5,4,2,2,0
102,1,3,2,3,5,5,4,2,0,0
103,1,3,2,3,5,5,4,2,2,2
104,1,3,2,3,5,5,5,4,0,0
105,1,3,2,3,5,5,5,4,2,2
106,1,3,2,3,5,5,5,4,2,0
107,1,3,2,3,5,5,5,5,4,0
108,1,3,2,3,5,5,5,5,4,2
109,1,3,2,3,5,5,5,5,5,4
110,1,3,2,3,5,5,5,5,5,5
111,1,3,2,0,0,0,0,0,0,0
112,2,3,5,4,0,0,0,0,0,0
113,2,3,5,4,2,2,3,5,4,0
114,2,3,5,4,2,2,3,5,4,2
115,2,3,5,4,2,2,3,5,5,4
116,2,3,5,4,2,2,3,5,5,5
117,2,3,5,4,2,2,0,0,0,0
118,2,3,5,4,2,0,0,0,0,0
119,2,3,5,4,2,2,2,3,5,4
120,2,3,5,4,2,2,2,3,5,5
121,2,3,5,4,2,2,2,0,0,0
122,2,3,5,4,2,2,2,2,3,5
123,2,3,5,4,2,2,2,2,0,0
124,2,3,5,4,2,2,2,2,2,3
125,2,3,5,4,2,2,2,2,2,0
126,2,3,5,4,2,2,2,2,2,2
127,2,3,5,5,4,0,0,0,0,0
128,2,3,5,5,4,2,2,3,5,4
129,2,3,5,5,4,2,2,3,5,5
130,2,3,5,5,4,2,2,0,0,0
131,2,3,5,5,4,2,0,0,0,0
132,2,3,5,5,4,2,2,2,3,5
133,2,3,5,5,4,2,2,2,0,0
134,2,3,5,5,4,2,2,2,2,3
135,2,3,5,5,4,2,2,2,2,0
136,2,3,5,5,4,2,2,2,2,2
137,2,3,5,5,5,4,0,0,0,0
138,2,3,5,5,5,4,2,2,3,5
139,2,3,5,5,5,4,2,2,0,0
140,2,3,5,5,5,4,2,0,0,0
141,2,3,5,5,5,4,2,2,2,3
142,2,3,5,5,5,4,2,2,2,0
143,2,3,5,5,5,4,2,2,2,2
144,2,3,5,5,5,5,4,0,0,0
145,2,3,5,5,5,5,4,2,2,3
146,2,3,5,5,5,5,4,2,2,0
147,2,3,5,5,5,5,4,2,0,0
148,2,3,5,5,5,5,4,2,2,2
149,2,3,5,5,5,5,5,4,0,0
150,2,3,5,5,5,5,5,4,2,2
151,2,3,5,5,5,5,5,4,2,0
152,2,3,5,5,5,5,5,5,4,0
153,2,3,5,5,5,5,5,5,4,2
154,2,3,5,5,5,5,5,5,5,4
155,2,3,5,5,5,5,5,5,5,5
156,2,0,0,0,0,0,0,0,0,0
157,3,5,4,0,0,0,0,0,0,0
158,3,5,4,2,2,3,5,4,0,0
159,3,5,4,2,2,3,5,4,2,2
160,3,5,4,2,2,3,5,4,2,0
161,3,5,4,2,2,3,5,5,4,0
162,3,5,4,2,2,3,5,5,4,2
163,3,5,4,2,2,3,5,5,5,4
164,3,5,4,2,2,3,5,5,5,5
165,3,5,4,2,2,0,0,0,0,0
166,3,5,4,2,0,0,0,0,0,0
167,3,5,4,2,2,2,3,5,4,0
168,3,5,4,2,2,2,3,5,4,2
169,3,5,4,2,2,2,3,5,5,4
170,3,5,4,2,2,2,3,5,5,5
171,3,5,4,2,2,2,0,0,0,0
172,3,5,4,2,2,2,2,3,5,4
173,3,5,4,2,2,2,2,3,5,5
174,3,5,4,2,2,2,2,0,0,0
175,3,5,4,2,2,2,2,2,3,5
176,3,5,4,2,2,2,2,2,0,0
177,3,5,4,2,2,2,2,2,2,3
178,3,5,4,2,2,2,2,2,2,0
179,3,5,4,2,2,2,2,2,2,2
180,3,5,5,4,0,0,0,0,0,0
181,3,5,5,4,2,2,3,5,4,0
182,3,5,5,4,2,2,3,5,4,2
183,3,5,5,4,2,2,3,5,5,4
184,3,5,5,4,2,2,3,5,5,5
185,3,5,5,4,2,2,0,0,0,0
186,3,5,5,4,2,0,0,0,0,0
187,3,5,5,4,2,2,2,3,5,4
188,3,5,5,4,2,2,2,3,5,5
189,3,5,5,4,2,2,2,0,0,0
190,3,5,5,4,2,2,2,2,3,5
191,3,5,5,4,2,2,2,2,0,0
192,3,5,5,4,2,2,2,2,2,3
193,3,5,5,4,2,2,2,2,2,0
194,3,5,5,4,2,2,2,2,2,2
195,3,5,5,5,4,0,0,0,0,0
196,3,5,5,5,4,2,2,3,5,4
197,3,5,5,5,4,2,2,3,5,5
198,3,5,5,5,4,2,2,0,0,0
199,3,5,5,5,4,2,0,0,0,0
200,3,5,5,5,4,2,2,2,3,5
201,3,5,5,5,4,2,2,2,0,0
202,3,5,5,5,4,2,2,2,2,3
203,3,5,5,5,4,2,2,2,2,0
204,3,5,5,5,4,2,2,2,2,2
205,3,5,5,5,5,4,0,0,0,0
206,3,5,5,5,5,4,2,2,3,5
207,3,5,5,5,5,4,2,2,0,0
208,3,5,5,5,5,4,2,0,0,0
209,3,5,5,5,5,4,2,2,2,3
210,3,5,5,5,5,4,2,2,2,0
211,3,5,5,5,5,4,2,2,2,2
212,3,5,5,5,5,5,4,0,0,0
213,3,5,5,5,5,5,4,2,2,3
214,3,5,5,5,5,5,4,2,2,0
215,3,5,5,5,5,5,4,2,0,0
216,3,5,5,5,5,5,4,2,2,2
217,3,5,5,5,5,5,5,4,0,0
218,3,5,5,5,5,5,5,4,2,2
219,3,5,5,5,5,5,5,4,2,0
220,3,5,5,5,5,5,5,5,4,0
221,3,5,5,5,5,5,5,5,4,2
222,3,5,5,5,5,5,5,5,5,4
223,3,5,5,5,5,5,5,5,5,5
224,3,2,3,5,4,0,0,0,0,0
225,3,2,3,5,4,2,2,3,5,4
