,0,1,2,3
0,0,1,2,1
1,0,1,2,0
2,0,1,2,2
3,0,1,1,2
4,0,1,1,1
5,0,0,1,2
6,0,0,1,1
7,0,0,0,1
8,0,0,0,0
9,1,2,1,2
10,1,2,1,1
11,1,2,0,0
12,1,2,2,1
13,1,2,2,0
14,1,2,2,2
15,2,1,2,1
16,2,1,2,0
17,2,1,2,2
18,2,1,1,2
19,2,1,1,1
20,2,0,0,1
21,2,0,0,0
22,3,3,3,3
