,0,1,2
0,1,2,1
1,0,1,0
2,0,1,2
3,1,0,1
4,2,1,0
5,2,1,2
6,2,0,0
7,1,2,0
8,1,2,2
9,0,0,0
10,3,0,0
11,1,0,0
12,2,1,1
13,3,0,1
14,0,1,1
15,0,0,1
16,2,0,1
