,0,1,2
0,0,3,3
1,3,0,0
2,0,0,0
3,3,0,3
4,2,0,1
5,0,0,3
6,0,1,1
7,2,0,0
8,2,1,1
9,2,0,3
10,0,1,0
11,0,1,2
12,2,1,2
13,1,0,1
14,2,1,0
15,1,2,1
16,1,0,0
17,1,0,3
18,1,2,0
19,1,2,2
20,0,0,1
21,3,0,1
22,0,3,0
