,0,1,2
0,0,1,1
1,0,0,1
2,0,0,0
3,1,1,1
4,2,2,2
5,2,2,0
6,2,0,0
7,3,3,5
8,3,3,3
9,4,0,0
10,4,2,2
11,4,2,0
12,5,4,4
