,0,1,2,3
0,0,1,1,3
1,0,0,1,1
2,0,0,0,1
3,0,0,0,0
4,1,1,3,5
5,2,2,3,5
6,3,5,4,0
7,3,5,4,2
8,3,5,5,4
9,3,5,5,5
10,3,2,2,3
11,4,0,0,0
12,4,2,2,3
13,4,2,2,2
14,5,4,0,0
15,5,4,2,2
