,0,1,2
0,0,1,1
1,0,0,1
2,0,0,0
3,1,1,1
4,2,2,2
5,2,2,0
6,2,0,1
7,2,0,0
8,3,3,5
9,3,3,3
10,4,0,1
11,4,0,0
12,4,2,2
13,4,2,0
14,5,4,4
