,time,PK-MED-E03-pa,vfd_prod_power,FT-DES-003,PK-MED-E02-pa,PK-MED-E01-pa,FT-DES-005,FT-AQU-100,FT-DES-002,vfd_brine_power,vfd_brine_out_freq
10465,2022-09-08 11:01:09,1136.0,0.6100000143051147,8.189163208007812,909.0,7978.0,1.4437408447265625,12.02039909362793,12.163352966308594,0.3199999928474426,32.5
10466,2022-09-08 11:01:10,1136.0,0.6100000143051147,8.208847045898438,909.0,7978.0,1.46331787109375,12.019856452941895,12.185440063476562,0.3199999928474426,32.5
10467,2022-09-08 11:01:11,1136.0,0.6100000143051147,8.198394775390625,909.0,7978.0,1.474395751953125,11.997612953186035,12.152252197265625,0.3199999928474426,32.5
10468,2022-09-08 11:01:12,1136.0,0.6000000238418579,8.206405639648438,910.0,7959.0,1.4857330322265625,11.99598503112793,12.166099548339844,0.3199999928474426,32.5
10469,2022-09-08 11:01:13,1136.0,0.6000000238418579,8.222122192382812,910.0,7959.0,1.536590576171875,11.99598503112793,12.20123291015625,0.33000001311302185,32.5
10470,2022-09-08 11:01:14,1135.0,0.6000000238418579,8.208541870117188,910.0,7959.0,1.537322998046875,11.97862434387207,12.152252197265625,0.33000001311302185,32.5
10471,2022-09-08 11:01:15,1135.0,0.6000000238418579,8.191299438476562,910.0,7959.0,1.530548095703125,11.987847328186035,12.180862426757812,0.33000001311302185,32.5
10472,2022-09-08 11:01:16,1135.0,0.6000000238418579,8.195343017578125,910.0,7959.0,1.516021728515625,12.016059875488281,12.187385559082031,0.33000001311302185,32.5
10473,2022-09-08 11:01:17,1135.0,0.6200000047683716,8.237228393554688,910.0,7959.0,1.4757537841796875,12.002495765686035,12.270469665527344,0.33000001311302185,32.5
10474,2022-09-08 11:01:18,1135.0,0.6200000047683716,8.225173950195312,910.0,7959.0,1.4405364990234375,12.002495765686035,12.239112854003906,0.33000001311302185,32.5
10475,2022-09-08 11:01:19,1135.0,0.6200000047683716,8.192520141601562,910.0,7959.0,1.4900360107421875,12.002495765686035,12.169761657714844,0.33000001311302185,32.5
10476,2022-09-08 11:01:20,1135.0,0.6100000143051147,8.18206787109375,910.0,7959.0,1.4900360107421875,12.02528190612793,12.168846130371094,0.33000001311302185,32.5
10477,2022-09-08 11:01:21,1135.0,0.6100000143051147,8.222122192382812,910.0,7959.0,1.5081329345703125,11.99978256225586,12.189216613769531,0.33000001311302185,32.5
10478,2022-09-08 11:01:22,1135.0,0.6000000238418579,8.207626342773438,909.0,7948.0,1.516021728515625,11.995443344116211,12.148475646972656,0.33000001311302185,32.5
10479,2022-09-08 11:01:23,1135.0,0.6000000238418579,8.207626342773438,909.0,7948.0,1.523529052734375,11.995443344116211,12.148475646972656,0.33000001311302185,32.5
10480,2022-09-08 11:01:24,1140.0,0.6000000238418579,8.202056884765625,909.0,7948.0,1.5282135009765625,11.995443344116211,12.162437438964844,0.33000001311302185,32.5
10481,2022-09-08 11:01:25,1140.0,0.6000000238418579,8.21380615234375,909.0,7948.0,1.5269775390625,11.95203971862793,12.140235900878906,0.33000001311302185,32.5
10482,2022-09-08 11:01:26,1140.0,0.6000000238418579,8.235931396484375,909.0,7948.0,1.526123046875,11.95203971862793,12.146644592285156,0.33000001311302185,32.5
10483,2022-09-08 11:01:27,1140.0,0.6000000238418579,8.182373046875,909.0,7948.0,1.5564117431640625,11.94444465637207,12.197456359863281,0.33000001311302185,32.5
10484,2022-09-08 11:01:28,1140.0,0.6100000143051147,8.1842041015625,909.0,7948.0,1.56787109375,11.98350715637207,12.20306396484375,0.33000001311302185,32.5
10485,2022-09-08 11:01:29,1140.0,0.6100000143051147,8.199005126953125,909.0,7948.0,1.554931640625,12.01443099975586,12.20947265625,0.33000001311302185,32.5
10486,2022-09-08 11:01:30,1140.0,0.6100000143051147,8.188858032226562,909.0,7948.0,1.5380706787109375,12.0068359375,12.197456359863281,0.3199999928474426,32.5
10487,2022-09-08 11:01:31,1140.0,0.6100000143051147,8.178024291992188,909.0,7948.0,1.501739501953125,12.0068359375,12.148475646972656,0.3199999928474426,32.5
10488,2022-09-08 11:01:32,1140.0,0.6100000143051147,8.198394775390625,909.0,7948.0,1.4996490478515625,12.03016471862793,12.185440063476562,0.3100000023841858,32.5
10489,2022-09-08 11:01:33,1137.0,0.6100000143051147,8.193435668945312,907.0,7948.0,1.5000152587890625,12.03016471862793,12.153167724609375,0.3199999928474426,32.5
10490,2022-09-08 11:01:34,1137.0,0.6100000143051147,8.195037841796875,907.0,7948.0,1.5012359619140625,12.016059875488281,12.130966186523438,0.3199999928474426,32.5
10491,2022-09-08 11:01:35,1137.0,0.5899999737739563,8.224258422851562,907.0,7948.0,1.502838134765625,12.016059875488281,12.19940185546875,0.3199999928474426,32.5
10492,2022-09-08 11:01:36,1137.0,0.5899999737739563,8.212890625,907.0,7948.0,1.431793212890625,11.98621940612793,12.176284790039062,0.3199999928474426,32.5
10493,2022-09-08 11:01:37,1137.0,0.5899999737739563,8.242721557617188,907.0,7948.0,1.5687255859375,11.97157096862793,12.215080261230469,0.33000001311302185,32.5
10494,2022-09-08 11:01:38,1137.0,0.5899999737739563,8.265533447265625,907.0,7948.0,1.565277099609375,11.97536849975586,12.191963195800781,0.33000001311302185,32.5
10495,2022-09-08 11:01:39,1137.0,0.5899999737739563,8.253860473632812,907.0,7948.0,1.5128173828125,11.962347984313965,12.143898010253906,0.33000001311302185,32.5
10496,2022-09-08 11:01:40,1137.0,0.5899999737739563,8.2476806640625,907.0,7948.0,1.49212646484375,11.962347984313965,12.097663879394531,0.33000001311302185,32.5
10497,2022-09-08 11:01:41,1137.0,0.5899999737739563,8.229217529296875,907.0,7948.0,1.512939453125,11.974284172058105,12.119865417480469,0.33000001311302185,32.5
10498,2022-09-08 11:01:42,1137.0,0.6100000143051147,8.179931640625,907.0,7948.0,1.5039520263671875,12.005208015441895,12.154998779296875,0.33000001311302185,32.5
10499,2022-09-08 11:01:43,1135.0,0.6100000143051147,8.169097900390625,910.0,7992.0,1.51971435546875,12.037760734558105,12.150421142578125,0.33000001311302185,32.5
10500,2022-09-08 11:01:44,1135.0,0.6100000143051147,8.166656494140625,910.0,7992.0,1.515533447265625,12.08224868774414,12.163352966308594,0.3199999928474426,32.5
10501,2022-09-08 11:01:45,1135.0,0.6100000143051147,8.1829833984375,910.0,7992.0,1.497802734375,12.095268249511719,12.179031372070312,0.3100000023841858,32.5
10502,2022-09-08 11:01:46,1135.0,0.6100000143051147,8.170394897460938,910.0,7992.0,1.4964447021484375,12.095268249511719,12.143898010253906,0.33000001311302185,32.5
10503,2022-09-08 11:01:47,1135.0,0.6100000143051147,8.164520263671875,910.0,7992.0,1.50555419921875,12.04969596862793,12.142066955566406,0.3199999928474426,32.5
10504,2022-09-08 11:01:48,1135.0,0.6100000143051147,8.184814453125,910.0,7992.0,1.5394134521484375,12.03342056274414,12.125473022460938,0.33000001311302185,32.5
10505,2022-09-08 11:01:49,1135.0,0.6100000143051147,8.195953369140625,910.0,7992.0,1.5423736572265625,12.03342056274414,12.165184020996094,0.3199999928474426,32.5
10506,2022-09-08 11:01:50,1135.0,0.6100000143051147,8.187026977539062,910.0,7992.0,1.5243988037109375,11.9580078125,12.139320373535156,0.3199999928474426,32.5
10507,2022-09-08 11:01:51,1135.0,0.6100000143051147,8.171005249023438,910.0,7992.0,1.512939453125,11.9580078125,12.113456726074219,0.3199999928474426,32.5
10508,2022-09-08 11:01:52,1135.0,0.6100000143051147,8.171310424804688,910.0,7966.0,1.5144195556640625,11.966146469116211,12.152252197265625,0.3199999928474426,32.5
10509,2022-09-08 11:01:53,1135.0,0.6100000143051147,8.203353881835938,910.0,7966.0,1.5108489990234375,11.966146469116211,12.135543823242188,0.3199999928474426,32.5
10510,2022-09-08 11:01:54,1140.0,0.6000000238418579,8.203353881835938,909.0,7966.0,1.5459442138671875,11.965603828430176,12.135543823242188,0.3199999928474426,32.5
10511,2022-09-08 11:01:55,1140.0,0.6200000047683716,8.25286865234375,909.0,7966.0,1.5243988037109375,11.97265625,12.177200317382812,0.3199999928474426,32.5
10512,2022-09-08 11:01:56,1140.0,0.6100000143051147,8.227310180664062,909.0,7966.0,1.495208740234375,11.979166984558105,12.218742370605469,0.3199999928474426,32.5
