time,Ms,Mf,Md,Mc,Ts_in,Ts_out,Tf,Td,Pvc,Tc_in,Tc_out,Pv_1,Pv_2,Pv_4,Pv_6,Pv_8,Pv_10,Pv_12,Pv_14,Tph_ref_14,wf
2009-05-15 08:51:44+00:00,43.98951687844264,7.969839683860236,2.25064680532446,8.279807321131445,62.513094509151415,59.544818801996655,57.39766489184692,30.493446755407646,42.446556905158054,18.362690515806985,29.46751697171382,179.14309317803662,163.49565723793674,120.52974376039927,99.3037118136439,80.94640016638935,67.06582163061564,55.93046173044923,44.76689400998337,29.646540599001657,3.30624
2009-05-15 09:01:44+00:00,43.99029806281478,7.9715979866888524,2.2364105158069876,8.287988019966724,62.29094625623961,59.33498485856907,57.28424509151413,30.971940765391,43.39493194675543,18.92474176372712,29.985677371048244,178.13816638935114,162.79527287853577,120.84535108153082,100.00123161397666,81.88352945091515,68.14718768718802,57.03236805324459,45.88706056572381,30.147908652246276,3.30624
2009-05-15 09:11:44+00:00,43.98957490230142,7.965735124792019,2.227205723793678,8.28542479201331,62.58155723793679,59.63617770382695,57.572029783693864,31.477518635607336,44.579493178036614,19.62564658901829,30.51484276206323,180.29272545757067,164.50990349417646,122.29699001663887,101.3432179700499,83.12989168053247,69.37415324459235,58.35021464226289,47.23741530782029,30.738334276206324,3.30624
2009-05-15 09:42:52+00:00,43.986815409734405,7.953573044925129,2.1242267221297837,8.282548918469216,62.680052745424305,59.8592608985025,57.785067554076534,32.788266056572375,48.24064792013312,21.594741430948428,32.136253244592346,182.1995790349418,166.83897670549078,125.35699833610651,104.63943261231282,86.616237437604,73.06053377703827,62.12252529118136,51.196885690515806,32.28003643926788,3.30624
2009-05-15 09:52:52+00:00,43.9824226982377,7.947082778702165,2.12488153078203,8.279844093178038,62.88561331114808,60.067465224625614,58.00116955074875,33.2941302828619,49.769733277870216,22.209317138103167,32.696485690515814,184.0869351081531,169.04369883527454,127.25375041597339,106.46338435940099,88.33220166389351,74.73154525790348,63.82165091514142,52.837378036605664,32.87646073211315,3.30624
2009-05-15 10:22:52+00:00,43.98857139493364,7.9085051580698895,2.340948768718802,20.15549850249585,63.92140249584028,60.78148652246255,58.572536439267864,31.271349084858592,42.86084442595674,24.861318968386023,29.7146064891847,189.29272878535775,172.1785607321131,126.68296672212979,104.25530116472547,84.60150000000002,69.78026772046587,57.66658901830283,45.83517221297838,29.958934608985025,3.30624
2009-05-15 10:32:52+00:00,43.97855647691206,7.904540465890184,2.3408697836938437,20.076927287853586,64.37825158069883,61.193827953410974,58.94553344425955,31.752102662229618,44.26576655574043,25.505053577371037,30.356413643926786,192.778925124792,175.4567271214642,128.8544875207987,106.07723627287852,86.17857836938434,71.26344059900165,59.18260815307821,47.391792179700495,30.57326738768719,3.30624
2009-05-18 09:53:08+00:00,43.94146945872656,7.943314009983359,2.297820266222962,8.271415973377701,65.3438306156406,62.28791314475873,60.00426589018302,33.261810981697174,48.1982302828619,20.44219367720467,32.06320432612312,201.78338103161397,183.5260016638935,135.54047088186357,111.79328785357738,91.41842895174709,76.21697803660565,63.87310615640599,51.533883693843585,32.26172212978369,3.30624
2009-05-18 10:03:08+00:00,43.94223720599454,7.936812412645596,2.2937573544093177,8.26010249584027,65.26685806988353,62.28444342762063,60.03998352745425,33.80053244592345,49.48613560732114,21.01266855241265,32.67102046589018,202.01688352745424,184.0835640599002,136.64739933444258,113.09226123128119,92.80570349417638,77.6919352745424,65.3375224625624,53.05922479201332,32.810035940099816,3.30624
2009-05-18 10:43:08+00:00,43.90575363594014,7.929788968386028,2.4715830782029946,17.49792995008319,66.06275091514144,62.84548286189685,60.48678136439268,32.172021630615646,43.61424176372713,23.916885690515805,30.238425956738773,206.35020133111485,187.161778702163,136.70250915141432,111.66353743760396,90.06086006655576,73.79134775374376,60.187544425956744,46.95480565723794,30.405274542429282,3.30624
2009-05-18 10:53:08+00:00,43.90359698072669,7.928165357737099,2.4436817138103164,17.5073074875208,66.33373144758735,63.1724342762063,60.73670216306155,32.588216971713805,44.82054658901829,24.664410316139755,30.867900332778692,208.7259600665557,189.2163410981697,137.8277920133112,112.61331613976706,90.89921064891847,74.71237603993343,61.306526289517485,48.36660732113145,30.96982728785358,3.30624
2009-05-18 11:03:08+00:00,43.9028029700279,7.931730732113149,2.436397321131447,17.526273377703824,66.41794342762064,63.3165231281198,60.89212279534109,33.100001830282864,46.24976788685525,25.267638269550748,31.412659900166393,210.09515806988352,190.60138602329448,139.3066888519135,114.1116788685525,92.40106855241268,76.21074126455906,62.8185860232945,49.930818136439264,31.564238768718806,3.30624
2009-05-18 11:13:08+00:00,43.900323824315315,7.936914841930118,2.4492474376039937,17.530589184692186,66.33831464226292,63.18131247920131,60.86211148086522,33.22093178036603,46.24638668885192,25.004190349417637,31.320940599001666,209.62242928452577,190.44511647254583,139.8037121464226,114.74270382695508,93.02009850249587,76.71797154742094,63.114204492512485,49.97968735440933,31.548014975041593,3.30624
2009-05-18 11:23:08+00:00,43.90325799923608,7.936745956738769,2.4856837437603994,17.523912479201336,66.73896788685524,63.563430282861916,61.1398915141431,33.01981980033277,45.515536272878535,24.588700499168052,31.081074376039926,212.549693843594,192.702775374376,140.66197670549087,115.12572712146424,93.02916256239604,76.47335174708822,62.61321763727121,49.34699517470883,31.254153410981687,3.30624
