time,vfd_prod_power,PK-MED-E01-pa,vfd_brine_power,HW1TT21,vfd_sw_power,FT-DES-002_VFD
2023-10-30 09:46:21.227,0.0,6905.0,0.0,17.1875,0.0,1.8573600053787231
2023-10-30 09:46:22.186,0.0,6905.0,0.0,17.1875,0.0,1.8573600053787231
2023-10-30 09:46:23.203,0.0,6905.0,0.0,17.1875,0.18000000715255737,1.5136499404907227
2023-10-30 09:46:24.184,0.0,6905.0,0.0,17.1875,0.18000000715255737,1.5136499404907227
2023-10-30 09:46:25.182,0.0,6900.0,0.0,17.1875,0.5799999833106995,2.735729932785034
2023-10-30 09:46:26.179,0.0,6900.0,0.0,17.1875,0.5799999833106995,2.735729932785034
2023-10-30 09:46:27.182,0.0,6900.0,0.0,17.1875,0.5799999833106995,2.735729932785034
2023-10-30 09:46:28.180,0.0,6900.0,0.0,17.1875,1.8700000047683716,8.998889923095703
2023-10-30 09:46:29.177,0.0,6900.0,0.0,17.1875,1.940000057220459,9.915450096130371
2023-10-30 09:46:30.191,0.0,6900.0,0.0,17.1875,1.940000057220459,9.915450096130371
2023-10-30 09:46:31.192,0.0,6900.0,0.0,17.1875,1.940000057220459,9.915450096130371
2023-10-30 09:46:32.188,0.0,6892.0,0.0,17.1875,1.940000057220459,9.915450096130371
2023-10-30 09:46:33.193,0.0,6892.0,0.0,17.1875,1.940000057220459,10.641059875488281
2023-10-30 09:46:34.177,0.0,6892.0,0.0,17.1875,1.9199999570846558,10.641059875488281
2023-10-30 09:46:35.178,0.0,6892.0,0.0,17.1875,1.9299999475479126,10.602869987487793
2023-10-30 09:46:36.168,0.0,6892.0,0.0,17.1875,1.9299999475479126,10.602869987487793
2023-10-30 09:46:37.170,0.0,6892.0,0.0,17.1875,0.6700000166893005,9.304409980773926
2023-10-30 09:46:38.179,0.0,6892.0,0.0,17.1875,0.6700000166893005,9.304409980773926
2023-10-30 09:46:39.165,0.0,6897.0,0.0,17.1875,0.6600000262260437,7.815000057220459
2023-10-30 09:46:40.182,0.0,6897.0,0.0,17.1875,0.6600000262260437,7.815000057220459
2023-10-30 09:46:41.170,0.0,6897.0,0.0,17.1875,0.7200000286102295,7.547669887542725
2023-10-30 09:46:42.193,0.0,6897.0,0.0,17.1875,0.7200000286102295,7.547669887542725
2023-10-30 09:46:43.162,0.0,6897.0,0.0,17.1875,1.5499999523162842,8.311470031738281
2023-10-30 09:46:44.167,0.0,6894.0,0.0,17.1875,1.5499999523162842,8.311470031738281
2023-10-30 09:46:45.181,0.0,6894.0,0.0,17.1875,1.75,9.95363998413086
2023-10-30 09:46:46.179,0.0,6894.0,0.0,17.1875,1.75,9.95363998413086
2023-10-30 09:46:47.170,0.0,6894.0,0.0,17.1875,1.7999999523162842,10.259160041809082
2023-10-30 09:46:48.180,0.0,6894.0,0.0,17.1875,1.7999999523162842,10.259160041809082
2023-10-30 09:46:49.189,0.0,6894.0,0.0,17.1875,1.7899999618530273,10.335539817810059
2023-10-30 09:46:50.179,0.0,6895.0,0.0,17.1875,1.7899999618530273,10.335539817810059
2023-10-30 09:46:51.210,0.0,6895.0,0.0,17.1875,1.8200000524520874,10.373729705810547
2023-10-30 09:46:52.175,0.0,6895.0,0.0,17.1875,1.8200000524520874,10.373729705810547
2023-10-30 09:46:53.202,0.0,6895.0,0.0,17.1875,1.7899999618530273,10.411919593811035
2023-10-30 09:46:54.173,0.0,6895.0,0.0,17.1875,1.7899999618530273,10.411919593811035
2023-10-30 09:46:55.174,0.0,6895.0,0.0,17.1875,1.7699999809265137,10.373729705810547
2023-10-30 09:46:56.176,0.0,6895.0,0.0,17.1875,1.7699999809265137,10.373729705810547
2023-10-30 09:46:57.157,0.0,6934.0,0.0,17.1875,1.7699999809265137,10.373729705810547
2023-10-30 09:46:58.161,0.0,6934.0,0.0,17.216434478759766,1.7699999809265137,10.373729705810547
2023-10-30 09:46:59.181,0.0,6934.0,0.0,17.216434478759766,1.7699999809265137,10.373729705810547
2023-10-30 09:47:00.158,0.0,6934.0,0.0,17.216434478759766,1.7699999809265137,10.373729705810547
2023-10-30 09:47:01.168,0.0,6934.0,0.0,17.1875,1.7699999809265137,10.373729705810547
2023-10-30 09:47:02.192,0.0,6934.0,0.0,17.10069465637207,1.7699999809265137,10.832010269165039
2023-10-30 09:47:03.191,0.0,6934.0,0.0,17.042823791503906,1.7699999809265137,10.79382038116455
2023-10-30 09:47:04.194,0.6600000262260437,7959.0,0.15000000596046448,17.042823791503906,0.9599999785423279,10.79382038116455
2023-10-30 09:47:05.166,0.6800000071525574,7959.0,0.15000000596046448,17.042823791503906,0.9200000166893005,10.602869987487793
2023-10-30 09:47:06.198,0.6800000071525574,7959.0,0.15000000596046448,16.984952926635742,0.9200000166893005,10.602869987487793
2023-10-30 09:47:07.174,0.6899999976158142,7959.0,0.15000000596046448,16.984952926635742,0.9100000262260437,10.335539817810059
2023-10-30 09:47:08.176,0.6899999976158142,7959.0,0.15000000596046448,16.984952926635742,0.9100000262260437,10.335539817810059
2023-10-30 09:47:09.184,0.8999999761581421,7959.0,0.1599999964237213,16.984952926635742,0.9200000166893005,10.259160041809082
2023-10-30 09:47:10.172,0.8999999761581421,7993.0,0.1599999964237213,16.984952926635742,0.9200000166893005,10.259160041809082
2023-10-30 09:47:11.168,0.9200000166893005,7993.0,0.15000000596046448,16.984952926635742,0.949999988079071,10.335539817810059
2023-10-30 09:47:12.185,0.9200000166893005,7993.0,0.15000000596046448,16.984952926635742,0.949999988079071,10.335539817810059
