,time,Mprod,Eprod
8000,2023-05-11 11:50:52.196,3.11236572265625,1.840000033378601
8001,2023-05-11 11:50:53.170,3.114959716796875,1.850000023841858
8002,2023-05-11 11:50:54.177,3.09881591796875,1.850000023841858
8003,2023-05-11 11:50:55.188,3.07012939453125,1.8600000143051147
8004,2023-05-11 11:50:56.183,3.064483642578125,1.8600000143051147
8005,2023-05-11 11:50:57.161,3.066558837890625,1.8600000143051147
8006,2023-05-11 11:50:58.159,3.067047119140625,1.8600000143051147
8007,2023-05-11 11:50:59.171,3.06817626953125,1.8899999856948853
8008,2023-05-11 11:51:00.166,3.06878662109375,1.8899999856948853
8009,2023-05-11 11:51:01.175,3.06878662109375,1.9299999475479126
8010,2023-05-11 11:51:02.171,3.074188232421875,1.9299999475479126
8011,2023-05-11 11:51:03.166,3.0616455078125,1.9600000381469727
8012,2023-05-11 11:51:04.170,3.05535888671875,1.9600000381469727
8013,2023-05-11 11:51:05.163,3.051055908203125,1.9600000381469727
8014,2023-05-11 11:51:06.166,3.05584716796875,1.9900000095367432
8015,2023-05-11 11:51:07.168,3.0621337890625,1.9800000190734863
8016,2023-05-11 11:51:08.165,3.064117431640625,1.9800000190734863
8017,2023-05-11 11:51:09.174,3.066925048828125,1.9800000190734863
8018,2023-05-11 11:51:10.159,3.05499267578125,1.850000023841858
8019,2023-05-11 11:51:11.189,3.059417724609375,1.840000033378601
8020,2023-05-11 11:51:12.160,3.0762939453125,1.840000033378601
8021,2023-05-11 11:51:13.198,3.11114501953125,1.8600000143051147
8022,2023-05-11 11:51:14.168,3.1168212890625,1.8600000143051147
8023,2023-05-11 11:51:15.186,3.1197509765625,1.8600000143051147
8024,2023-05-11 11:51:16.158,3.079620361328125,1.8200000524520874
8025,2023-05-11 11:51:17.172,3.06951904296875,1.8300000429153442
8026,2023-05-11 11:51:18.159,3.071624755859375,1.8300000429153442
8027,2023-05-11 11:51:19.156,3.06103515625,1.8700000047683716
8028,2023-05-11 11:51:20.159,3.05645751953125,1.8700000047683716
8029,2023-05-11 11:51:21.187,3.0635986328125,1.8700000047683716
8030,2023-05-11 11:51:22.177,3.06927490234375,1.909999966621399
8031,2023-05-11 11:51:23.152,3.031951904296875,1.9199999570846558
8032,2023-05-11 11:51:24.179,3.050323486328125,1.9199999570846558
8033,2023-05-11 11:51:25.164,3.066680908203125,1.9199999570846558
8034,2023-05-11 11:51:26.185,3.08270263671875,1.8899999856948853
8035,2023-05-11 11:51:27.161,3.08331298828125,1.899999976158142
8036,2023-05-11 11:51:28.171,3.08416748046875,1.899999976158142
8037,2023-05-11 11:51:29.180,3.087371826171875,1.899999976158142
8038,2023-05-11 11:51:30.176,3.108428955078125,1.8700000047683716
8039,2023-05-11 11:51:31.181,3.10968017578125,1.8600000143051147
8040,2023-05-11 11:51:32.169,3.09576416015625,1.8600000143051147
8041,2023-05-11 11:51:33.161,3.106597900390625,1.8700000047683716
8042,2023-05-11 11:51:34.172,3.088348388671875,1.8700000047683716
8043,2023-05-11 11:51:35.170,3.092315673828125,1.8300000429153442
8044,2023-05-11 11:51:36.164,3.085662841796875,1.8300000429153442
8045,2023-05-11 11:51:37.158,3.036773681640625,1.8300000429153442
8046,2023-05-11 11:51:38.175,3.0753173828125,1.8300000429153442
8047,2023-05-11 11:51:39.188,3.07025146484375,1.8600000143051147
8048,2023-05-11 11:51:40.176,3.010894775390625,1.8600000143051147
8049,2023-05-11 11:51:41.172,3.04034423828125,1.909999966621399
8050,2023-05-11 11:51:42.182,3.05462646484375,1.909999966621399
8051,2023-05-11 11:51:43.200,3.057464599609375,1.8899999856948853
8052,2023-05-11 11:51:44.174,3.06829833984375,1.8899999856948853
8053,2023-05-11 11:51:45.192,3.066925048828125,1.8799999952316284
8054,2023-05-11 11:51:46.169,3.03997802734375,1.8799999952316284
8055,2023-05-11 11:51:47.181,3.09600830078125,1.8899999856948853
8056,2023-05-11 11:51:48.165,3.09564208984375,1.8899999856948853
8057,2023-05-11 11:51:49.168,3.09747314453125,1.8700000047683716
8058,2023-05-11 11:51:50.159,3.128875732421875,1.8700000047683716
8059,2023-05-11 11:51:51.183,3.1451416015625,1.8700000047683716
8060,2023-05-11 11:51:52.176,3.135162353515625,1.8600000143051147
8061,2023-05-11 11:51:53.158,3.128631591796875,1.8600000143051147
8062,2023-05-11 11:51:54.191,3.101165771484375,1.840000033378601
8063,2023-05-11 11:51:55.166,3.10302734375,1.840000033378601
8064,2023-05-11 11:51:56.203,3.077880859375,1.8799999952316284
8065,2023-05-11 11:51:57.158,3.08489990234375,1.8799999952316284
8066,2023-05-11 11:51:58.178,3.09552001953125,1.8799999952316284
8067,2023-05-11 11:51:59.176,3.050689697265625,1.9299999475479126
8068,2023-05-11 11:52:00.173,3.021728515625,1.9299999475479126
8069,2023-05-11 11:52:01.175,3.023101806640625,1.9900000095367432
8070,2023-05-11 11:52:02.175,3.02886962890625,1.9900000095367432
8071,2023-05-11 11:52:03.163,3.0341796875,1.9700000286102295
8072,2023-05-11 11:52:04.168,3.01409912109375,1.9700000286102295
8073,2023-05-11 11:52:05.158,3.007568359375,1.940000057220459
8074,2023-05-11 11:52:06.160,3.058685302734375,1.940000057220459
8075,2023-05-11 11:52:07.185,3.0635986328125,1.9299999475479126
8076,2023-05-11 11:52:08.172,3.085052490234375,1.9299999475479126
8077,2023-05-11 11:52:09.171,3.106353759765625,1.840000033378601
8078,2023-05-11 11:52:10.169,3.081451416015625,1.840000033378601
8079,2023-05-11 11:52:11.188,3.0888671875,1.840000033378601
