,time,FT-DES-003,PK-MED-E01-pa,vfd_prod_power,PK-MED-E02-pa,FT-DES-002,vfd_sw_power,vfd_brine_power,PK-MED-E03-pa,vfd_sw_out_freq,FT-DES-005,FT-DES-002_VFD
0,2022-11-23 14:51:06,0.011806488037109375,13.0,0.0,7.0,-7.499981880187988,0.020099999383091927,0.0,1784.0,30.0,0.00093841552734375,10.984769821166992
1,2022-11-23 14:51:07,0.0121307373046875,13.0,0.0,7.0,-7.5,0.020099999383091927,0.0,1784.0,30.0,0.00093841552734375,10.984769821166992
2,2022-11-23 14:51:08,0.0121307373046875,14.0,0.0,7.0,-7.499963283538818,0.019700000062584877,0.0,1784.0,30.0,0.00093841552734375,11.02295970916748
3,2022-11-23 14:51:09,0.0124359130859375,14.0,0.0,8.0,-7.499945163726807,0.019700000062584877,0.0,1777.0,30.0,0.00093841552734375,11.02295970916748
4,2022-11-23 14:51:10,0.0121307373046875,14.0,0.0,8.0,-7.499963283538818,0.019899999722838402,0.0,1777.0,30.0,0.00118255615234375,10.946579933166504
5,2022-11-23 14:51:11,0.011806488037109375,14.0,0.0,8.0,-7.499972820281982,0.019899999722838402,0.0,1777.0,30.0,0.00093841552734375,10.946579933166504
6,2022-11-23 14:51:12,0.0121307373046875,14.0,0.0,8.0,-7.499981880187988,0.019899999722838402,0.0,1777.0,30.0,0.00118255615234375,11.02295970916748
7,2022-11-23 14:51:13,0.0121307373046875,13.0,0.0,7.0,-7.500018119812012,0.019899999722838402,0.0,1777.0,30.0,0.00118255615234375,11.02295970916748
8,2022-11-23 14:51:14,0.011806488037109375,13.0,0.0,7.0,-7.499927043914795,0.019899999722838402,0.0,1777.0,30.0,0.00106048583984375,11.02295970916748
9,2022-11-23 14:51:15,0.0121307373046875,13.0,0.0,7.0,-7.499963283538818,0.019899999722838402,0.0,1777.0,30.0,0.00093841552734375,11.02295970916748
10,2022-11-23 14:51:16,0.011806488037109375,13.0,0.0,7.0,-7.499945163726807,0.019899999722838402,0.0,1777.0,30.0,0.00106048583984375,11.02295970916748
11,2022-11-23 14:51:17,0.0121307373046875,13.0,0.0,7.0,-7.500009059906006,0.019899999722838402,0.0,1785.0,30.0,0.00093841552734375,10.984769821166992
12,2022-11-23 14:51:18,0.0121307373046875,13.0,0.0,7.0,-7.5,0.019500000402331352,0.0,1785.0,30.0,0.00106048583984375,11.02295970916748
13,2022-11-23 14:51:19,0.0121307373046875,13.0,0.0,7.0,-7.499981880187988,0.019500000402331352,0.0,1785.0,30.0,0.00106048583984375,11.02295970916748
14,2022-11-23 14:51:20,0.0121307373046875,13.0,0.0,7.0,-7.500009059906006,0.011300000362098217,0.0,1785.0,23.56999969482422,0.00106048583984375,10.946579933166504
15,2022-11-23 14:51:21,0.0121307373046875,13.0,0.0,7.0,-7.499981880187988,0.011300000362098217,0.0,1785.0,23.56999969482422,0.00093841552734375,10.946579933166504
16,2022-11-23 14:51:22,0.0121307373046875,13.0,0.0,7.0,-7.5,0.0017999999690800905,0.0,1788.0,3.4200000762939453,0.00106048583984375,7.853189945220947
17,2022-11-23 14:51:23,0.011806488037109375,13.0,0.0,7.0,-7.499963283538818,0.0017999999690800905,0.0,1788.0,3.4200000762939453,0.00093841552734375,7.853189945220947
18,2022-11-23 14:51:24,0.011501312255859375,12.0,0.0,7.0,-7.499981880187988,0.0,0.0,1788.0,0.0,0.00106048583984375,2.7739200592041016
19,2022-11-23 14:51:25,0.0121307373046875,12.0,0.0,7.0,-7.5,0.0,0.0,159.0,0.0,0.00118255615234375,2.7739200592041016
20,2022-11-23 14:51:26,0.0121307373046875,12.0,0.0,7.0,-7.499963283538818,0.0,0.0,159.0,0.0,0.00093841552734375,1.7809799909591675
21,2022-11-23 14:51:27,0.0121307373046875,12.0,0.0,7.0,-7.5,0.0,0.0,159.0,0.0,0.00093841552734375,1.7809799909591675
22,2022-11-23 14:51:28,0.0121307373046875,12.0,0.0,7.0,-7.4999542236328125,0.0,0.0,159.0,0.0,0.00093841552734375,1.8191699981689453
23,2022-11-23 14:51:29,0.0121307373046875,11.0,0.0,7.0,-7.4999542236328125,0.0,0.0,159.0,0.0,0.00093841552734375,1.8191699981689453
24,2022-11-23 14:51:30,0.0124359130859375,11.0,0.0,7.0,-7.4999542236328125,0.0,0.0,12.0,0.0,0.00106048583984375,2.353830099105835
25,2022-11-23 14:51:31,0.0121307373046875,11.0,0.0,7.0,-7.499972820281982,0.0,0.0,12.0,0.0,0.00106048583984375,2.353830099105835
26,2022-11-23 14:51:32,0.011806488037109375,11.0,0.0,7.0,-7.499972820281982,0.0,0.0,12.0,0.0,0.00093841552734375,1.666409969329834
27,2022-11-23 14:51:33,0.011806488037109375,12.0,0.0,7.0,-7.499972820281982,0.0,0.0,12.0,0.0,0.00093841552734375,1.666409969329834
28,2022-11-23 14:51:34,0.011806488037109375,12.0,0.0,7.0,-7.499990940093994,0.0,0.0,13.0,0.0,0.00093841552734375,1.666409969329834
29,2022-11-23 14:51:35,0.0121307373046875,12.0,0.0,7.0,-7.500018119812012,0.0,0.0,13.0,0.0,0.00093841552734375,1.666409969329834
30,2022-11-23 14:51:36,0.0121307373046875,12.0,0.0,7.0,-7.499972820281982,0.0,0.0,13.0,0.0,0.00093841552734375,1.7045999765396118
31,2022-11-23 14:51:37,0.011806488037109375,12.0,0.0,7.0,-7.499990940093994,0.0,0.0,13.0,0.0,0.00106048583984375,1.7045999765396118
