time,Ms,Mf,Md,Mc,Ts_in,Ts_out,Tf,Td,Pvc,Tc_in,Tc_out,Pv_1,Pv_2,Pv_4,Pv_6,Pv_8,Pv_10,Pv_12,Pv_14,Tph_ref_14,wf
2011-06-21 13:51:32+00:00,36.70659122980738,8.009680915141427,0.6994351157071544,14.867750083194668,69.59387903494184,65.8364256239601,62.57991098169717,35.18449134775374,55.94449317803661,25.00759467554077,33.52399400998338,231.6810615640599,212.1775224625624,153.69395673876878,126.56886356073214,103.44708985024944,86.54988835274547,70.80192262895173,56.35561963394342,33.68584775374375,3.30624
2011-06-21 14:01:32+00:00,36.71196918642575,8.006187753743774,0.7407083323793676,15.101814808652248,69.60025806988345,65.87279833610646,62.61810382695506,35.245972878535774,55.85238336106489,25.01373710482529,33.49691364392682,231.8321613976705,212.33640599001663,154.08353410981692,126.8830881863563,103.68474209650589,86.74792129783694,70.84655191347754,56.25663710482529,33.637829783693846,3.30624
2011-06-22 11:21:30+00:00,44.03298224564933,5.992031297836931,0.6893432927121464,16.285842595673884,69.57110632279526,66.57723910149744,63.73844708818635,35.08531214642262,55.94051613976705,25.89523394342762,33.54925873544091,241.2768003327787,220.0397321131448,158.0264376039934,129.548143094842,106.55959567387671,88.4631931780366,71.35315524126457,56.32959034941764,33.71331580698836,3.30624
2011-06-22 12:01:30+00:00,44.031584176041946,7.0438572046589085,0.6819824403161397,15.274710316139757,69.53058935108146,66.51122745424293,63.46805257903495,35.15207088186356,55.81448901830284,25.10660449251248,33.42835507487523,239.7207820299501,218.29318968386025,157.33262396006654,129.0612945091514,105.53502329450912,87.4068798668885,71.29704259567389,56.2083755407654,33.65741630615641,3.30624
2011-06-22 12:11:30+00:00,44.03444933310962,7.046048519134784,0.650232054359401,15.05805640599003,69.60375307820303,66.45706455906827,63.48436522462562,35.13491214642262,55.753848585690506,24.973698336106487,33.440398668885145,240.09340432612316,218.52990515806988,157.4951996672213,129.14857903494163,105.53898336106482,87.34955141430943,71.2255762063228,56.14713244592347,33.62483793677204,3.30624
2011-06-22 12:21:30+00:00,44.03430274651912,7.045950049916812,0.6559812983560731,14.795182196339436,69.58236422628951,66.42882196339434,63.47146638935107,35.20424592346088,55.813567554076535,24.887381031613977,33.46783876871881,239.9709750415973,218.50972046589013,157.52412146422628,129.14954242928454,105.59259900166394,87.40683294509142,71.28553643926787,56.21234425956737,33.64539783693843,3.30624
2011-06-22 12:31:30+00:00,44.02126020462532,7.044484642262897,0.6687525077537437,14.655294342762064,69.50541547420961,66.41034259567391,63.44747437603993,35.20356173044925,55.83806871880199,24.82031980033278,33.479908652246245,239.36034109816967,217.96358402662227,157.31794342762066,129.08619301164737,105.5770798668885,87.39836638935111,71.28676106489182,56.233932612312806,33.666043094841925,3.30624
2011-06-23 12:36:33+00:00,44.02492059394679,8.055132728785358,0.7229448004159732,16.333143261231278,69.58066139767065,66.42768552412653,63.16668202995009,35.2074153078203,55.68027420965059,25.332912645590675,33.36270599001662,237.769149750416,217.15078702163063,156.4565391014975,128.3689034941762,104.66920965058252,87.3905936772046,70.82153627287853,56.27800648918468,33.53076339434277,3.30624
2011-06-23 12:46:33+00:00,44.0306380817555,8.07194148086522,0.7316149204492511,16.56768718801996,69.61362762063241,66.46757753743773,63.17922595673877,35.186534941763725,55.69383926788683,25.43685790349418,33.386865058236296,237.80775707154743,217.1883477537438,156.52699168053246,128.46080366056592,104.73210648918464,87.43278202994999,70.85096372712148,56.2915589018303,33.53295806988353,3.30624
2011-06-23 12:56:33+00:00,44.02883018047213,8.071968768718808,0.7296482433277871,16.733770549084866,69.59696755407649,66.49171081530795,63.19681314475874,35.17577703826955,55.73578252911814,25.512322628951747,33.380072212978355,238.0972512479201,217.3954925124792,156.72451414309484,128.6412645590682,104.88223793677224,87.54034725457569,70.93813028286195,56.33915590682199,33.54103410981697,3.30624
